display_name;category;sector;barcodes;aliases;country_codes;image_url;unit;tags;supplier_suggestions;marketplace_matches;publication_status;notes;reference_price;sale_price;supplier_hint;verified;added_by_count
Huile végétale Dinor 10 L;Huile;epicerie;;Huile végétale Dinor 10 L|Huile végétale|Huile végétale 10 L|Huile végétale Dinor;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|dinor|végétale|10 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Dinor 20 L;Huile;epicerie;;Huile végétale Dinor 20 L|Huile végétale|Huile végétale 20 L|Huile végétale Dinor;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|dinor|végétale|20 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Aya 1 L;Huile;epicerie;;Huile végétale Aya 1 L|Huile végétale|Huile végétale 1 L|Huile végétale Aya;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|aya|végétale|1 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Aya 5 L;Huile;epicerie;;Huile végétale Aya 5 L|Huile végétale|Huile végétale 5 L|Huile végétale Aya;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|aya|végétale|5 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Aya 10 L;Huile;epicerie;;Huile végétale Aya 10 L|Huile végétale|Huile végétale 10 L|Huile végétale Aya;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|aya|végétale|10 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Aya 20 L;Huile;epicerie;;Huile végétale Aya 20 L|Huile végétale|Huile végétale 20 L|Huile végétale Aya;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|aya|végétale|20 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Safi 1 L;Huile;epicerie;;Huile végétale Safi 1 L|Huile végétale|Huile végétale 1 L|Huile végétale Safi;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|safi|végétale|1 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Safi 5 L;Huile;epicerie;;Huile végétale Safi 5 L|Huile végétale|Huile végétale 5 L|Huile végétale Safi;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|safi|végétale|5 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Safi 10 L;Huile;epicerie;;Huile végétale Safi 10 L|Huile végétale|Huile végétale 10 L|Huile végétale Safi;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|safi|végétale|10 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Safi 20 L;Huile;epicerie;;Huile végétale Safi 20 L|Huile végétale|Huile végétale 20 L|Huile végétale Safi;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|safi|végétale|20 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Margarine Blue Band Classique 250 g;Margarine;epicerie;;Margarine Blue Band Classique 250 g|Margarine|Margarine 250 g|Margarine Blue Band;SN;;barquette;épicerie|sénégal|épicerie de base|margarine|blue band|classique|250 g|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Se vend surtout en barquette. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Margarine Blue Band Classique 500 g;Margarine;epicerie;;Margarine Blue Band Classique 500 g|Margarine|Margarine 500 g|Margarine Blue Band;SN;;barquette;épicerie|sénégal|épicerie de base|margarine|blue band|classique|500 g|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Se vend surtout en barquette. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Margarine Blue Band Classique 1 kg;Margarine;epicerie;;Margarine Blue Band Classique 1 kg|Margarine|Margarine 1 kg|Margarine Blue Band;SN;;barquette;épicerie|sénégal|épicerie de base|margarine|blue band|classique|1 kg|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Se vend surtout en barquette. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Margarine Rama Classique 250 g;Margarine;epicerie;;Margarine Rama Classique 250 g|Margarine|Margarine 250 g|Margarine Rama;SN;;barquette;épicerie|sénégal|épicerie de base|margarine|rama|classique|250 g|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Se vend surtout en barquette. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Margarine Rama Classique 500 g;Margarine;epicerie;;Margarine Rama Classique 500 g|Margarine|Margarine 500 g|Margarine Rama;SN;;barquette;épicerie|sénégal|épicerie de base|margarine|rama|classique|500 g|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Se vend surtout en barquette. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Margarine Rama Classique 1 kg;Margarine;epicerie;;Margarine Rama Classique 1 kg|Margarine|Margarine 1 kg|Margarine Rama;SN;;barquette;épicerie|sénégal|épicerie de base|margarine|rama|classique|1 kg|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Se vend surtout en barquette. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Margarine Jadida Classique 250 g;Margarine;epicerie;;Margarine Jadida Classique 250 g|Margarine|Margarine 250 g|Margarine Jadida;SN;;barquette;épicerie|sénégal|épicerie de base|margarine|jadida|classique|250 g|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Se vend surtout en barquette. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Margarine Jadida Classique 500 g;Margarine;epicerie;;Margarine Jadida Classique 500 g|Margarine|Margarine 500 g|Margarine Jadida;SN;;barquette;épicerie|sénégal|épicerie de base|margarine|jadida|classique|500 g|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Se vend surtout en barquette. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Margarine Jadida Classique 1 kg;Margarine;epicerie;;Margarine Jadida Classique 1 kg|Margarine|Margarine 1 kg|Margarine Jadida;SN;;barquette;épicerie|sénégal|épicerie de base|margarine|jadida|classique|1 kg|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Se vend surtout en barquette. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Beurre Président Doux/salé 100 g;Beurre;epicerie;;Beurre Président Doux/salé 100 g|Beurre|Beurre 100 g|Beurre Président;SN;;plaquette;épicerie|sénégal|épicerie de base|beurre|président|doux/salé|100 g|c|expiration à suivre;;;ready;Priorité boutique : C | Stock minimum suggéré : 2 | Expiration à suivre : Oui | Sensible : Non | Produit plus sensible chaîne du froid. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Beurre Président Doux/salé 200 g;Beurre;epicerie;;Beurre Président Doux/salé 200 g|Beurre|Beurre 200 g|Beurre Président;SN;;plaquette;épicerie|sénégal|épicerie de base|beurre|président|doux/salé|200 g|c|expiration à suivre;;;ready;Priorité boutique : C | Stock minimum suggéré : 2 | Expiration à suivre : Oui | Sensible : Non | Produit plus sensible chaîne du froid. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Beurre Président Doux/salé 250 g;Beurre;epicerie;;Beurre Président Doux/salé 250 g|Beurre|Beurre 250 g|Beurre Président;SN;;plaquette;épicerie|sénégal|épicerie de base|beurre|président|doux/salé|250 g|c|expiration à suivre;;;ready;Priorité boutique : C | Stock minimum suggéré : 2 | Expiration à suivre : Oui | Sensible : Non | Produit plus sensible chaîne du froid. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Beurre Elle & Vire Doux/salé 100 g;Beurre;epicerie;;Beurre Elle & Vire Doux/salé 100 g|Beurre|Beurre 100 g|Beurre Elle & Vire;SN;;plaquette;épicerie|sénégal|épicerie de base|beurre|elle & vire|doux/salé|100 g|c|expiration à suivre;;;ready;Priorité boutique : C | Stock minimum suggéré : 2 | Expiration à suivre : Oui | Sensible : Non | Produit plus sensible chaîne du froid. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Beurre Elle & Vire Doux/salé 200 g;Beurre;epicerie;;Beurre Elle & Vire Doux/salé 200 g|Beurre|Beurre 200 g|Beurre Elle & Vire;SN;;plaquette;épicerie|sénégal|épicerie de base|beurre|elle & vire|doux/salé|200 g|c|expiration à suivre;;;ready;Priorité boutique : C | Stock minimum suggéré : 2 | Expiration à suivre : Oui | Sensible : Non | Produit plus sensible chaîne du froid. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Beurre Elle & Vire Doux/salé 250 g;Beurre;epicerie;;Beurre Elle & Vire Doux/salé 250 g|Beurre|Beurre 250 g|Beurre Elle & Vire;SN;;plaquette;épicerie|sénégal|épicerie de base|beurre|elle & vire|doux/salé|250 g|c|expiration à suivre;;;ready;Priorité boutique : C | Stock minimum suggéré : 2 | Expiration à suivre : Oui | Sensible : Non | Produit plus sensible chaîne du froid. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Beurre Bridel Doux/salé 100 g;Beurre;epicerie;;Beurre Bridel Doux/salé 100 g|Beurre|Beurre 100 g|Beurre Bridel;SN;;plaquette;épicerie|sénégal|épicerie de base|beurre|bridel|doux/salé|100 g|c|expiration à suivre;;;ready;Priorité boutique : C | Stock minimum suggéré : 2 | Expiration à suivre : Oui | Sensible : Non | Produit plus sensible chaîne du froid. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Beurre Bridel Doux/salé 200 g;Beurre;epicerie;;Beurre Bridel Doux/salé 200 g|Beurre|Beurre 200 g|Beurre Bridel;SN;;plaquette;épicerie|sénégal|épicerie de base|beurre|bridel|doux/salé|200 g|c|expiration à suivre;;;ready;Priorité boutique : C | Stock minimum suggéré : 2 | Expiration à suivre : Oui | Sensible : Non | Produit plus sensible chaîne du froid. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Beurre Bridel Doux/salé 250 g;Beurre;epicerie;;Beurre Bridel Doux/salé 250 g|Beurre|Beurre 250 g|Beurre Bridel;SN;;plaquette;épicerie|sénégal|épicerie de base|beurre|bridel|doux/salé|250 g|c|expiration à suivre;;;ready;Priorité boutique : C | Stock minimum suggéré : 2 | Expiration à suivre : Oui | Sensible : Non | Produit plus sensible chaîne du froid. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Pâte d'arachide Dakatine Nature 250 g;Pâte arachide;epicerie;;Pâte d'arachide Dakatine Nature 250 g|Pâte d'arachide|Pâte d'arachide 250 g|Pâte d'arachide Dakatine;SN;;pot;épicerie|sénégal|épicerie de base|pâte arachide|pâte d'arachide|dakatine|nature|250 g|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Produit important pour mafé. | Source / validation : https://sunualimentation.com/;;;;true;1
Pâte d'arachide Dakatine Nature 500 g;Pâte arachide;epicerie;;Pâte d'arachide Dakatine Nature 500 g|Pâte d'arachide|Pâte d'arachide 500 g|Pâte d'arachide Dakatine;SN;;pot;épicerie|sénégal|épicerie de base|pâte arachide|pâte d'arachide|dakatine|nature|500 g|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Produit important pour mafé. | Source / validation : https://sunualimentation.com/;;;;true;1
Pâte d'arachide Dakatine Nature 1 kg;Pâte arachide;epicerie;;Pâte d'arachide Dakatine Nature 1 kg|Pâte d'arachide|Pâte d'arachide 1 kg|Pâte d'arachide Dakatine;SN;;pot;épicerie|sénégal|épicerie de base|pâte arachide|pâte d'arachide|dakatine|nature|1 kg|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Produit important pour mafé. | Source / validation : https://sunualimentation.com/;;;;true;1
Pâte d'arachide Marque locale Nature 250 g;Pâte arachide;epicerie;;Pâte d'arachide Marque locale Nature 250 g|Pâte d'arachide|Pâte d'arachide 250 g|Pâte d'arachide Marque locale;SN;;pot;épicerie|sénégal|épicerie de base|pâte arachide|pâte d'arachide|marque locale|nature|250 g|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Produit important pour mafé. | Source / validation : https://sunualimentation.com/;;;;true;1
Pâte d'arachide Marque locale Nature 500 g;Pâte arachide;epicerie;;Pâte d'arachide Marque locale Nature 500 g|Pâte d'arachide|Pâte d'arachide 500 g|Pâte d'arachide Marque locale;SN;;pot;épicerie|sénégal|épicerie de base|pâte arachide|pâte d'arachide|marque locale|nature|500 g|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Produit important pour mafé. | Source / validation : https://sunualimentation.com/;;;;true;1
Pâte d'arachide Marque locale Nature 1 kg;Pâte arachide;epicerie;;Pâte d'arachide Marque locale Nature 1 kg|Pâte d'arachide|Pâte d'arachide 1 kg|Pâte d'arachide Marque locale;SN;;pot;épicerie|sénégal|épicerie de base|pâte arachide|pâte d'arachide|marque locale|nature|1 kg|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Produit important pour mafé. | Source / validation : https://sunualimentation.com/;;;;true;1
Riz parfumé Royal Umbrella 5 kg;Riz;epicerie;;Riz parfumé Royal Umbrella 5 kg|Riz parfumé|Riz parfumé 5 kg|Riz parfumé Royal Umbrella;SN;;sac;épicerie|sénégal|épicerie de base|riz|riz parfumé|royal umbrella|parfumé|5 kg|a|expiration à suivre;;;ready;"Priorité boutique : A | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Ne pas saisir les lignes de revente au kg; uniquement les sacs/paquets. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros";;;;true;1
Riz parfumé Royal Umbrella 10 kg;Riz;epicerie;;Riz parfumé Royal Umbrella 10 kg|Riz parfumé|Riz parfumé 10 kg|Riz parfumé Royal Umbrella;SN;;sac;épicerie|sénégal|épicerie de base|riz|riz parfumé|royal umbrella|parfumé|10 kg|a|expiration à suivre;;;ready;"Priorité boutique : A | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Ne pas saisir les lignes de revente au kg; uniquement les sacs/paquets. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros";;;;true;1
